query,entail,conflict,query_atoms,entail_atoms,conflict_atoms,negs_sourse_atoms
"The primary responsible party bears 70% to 90% of the responsibility for the accident (incident), and the secondary responsible party bears 10% to 30% of the responsibility for the accident (incident).","For the incident, the entity with main liability assumes a share of 70% to 90%, while the entity with minor liability takes on 10% to 30% of the burden.","The primary responsible party bears 50% of the responsibility for the accident (incident), and the secondary responsible party bears the other 50% of the responsibility.","['The primary responsible party bears 70% to 90% of the responsibility for the accident (incident).', 'The secondary responsible party bears 10% to 30% of the responsibility for the accident (incident).']","['The entity with main liability assumes a share of 70% to 90%.', 'The entity with minor liability takes on 10% to 30% of the burden.']","['The primary responsible party bears 50% of the responsibility.', 'The secondary responsible party bears 50% of the responsibility.']","[['The primary responsible party bears 50% of the responsibility.', 'The primary responsible party bears 10% of the responsibility.', 'The primary responsible party bears 0% of the responsibility.'], ['The secondary responsible party bears 50% of the responsibility.', 'The secondary responsible party bears 90% of the responsibility.', 'The secondary responsible party bears 100% of the responsibility.']]"
"If a single station's handhelds, fixed stations, dispatch consoles, and office phones are all unusable for over 20 minutes, the duty director initiates a Level III response and notifies the department head.","A Level III response is launched by the duty director, who also alerts the department head, if a single station suffers a total comms blackout lasting more than 20 minutes.","If a single station's communication devices are unusable for over 20 minutes, it is considered a minor issue and no response level is released.","[""Single station's handhelds, fixed stations, dispatch consoles, and office phones are all unusable."", 'Duration is over 20 minutes.', 'Duty director initiates Level III response.', 'Duty director notifies department head.']","['Single station suffers total comms blackout.', 'Lasting more than 20 minutes.', 'Duty director launches Level III response.', 'Alerts the department head.']","['Considered a minor issue.', 'No response level is released.', 'Department head is not notified.']","[[""All stations' devices are unusable."", 'Only one phone is unusable.', 'Devices are working fine.'], ['Duration is less than 1 minute.', 'Duration is exactly 10 seconds.', 'Duration is over 20 years.'], ['No response level is released.', 'Duty director initiates Level I response.', 'Duty director initiates Level V response.'], ['Duty director notifies the intern.', 'Duty director notifies the cleaner.', 'Duty director notifies no one.']]"
"The Emergency Response Team leader is responsible for organizing a post-incident review meeting within 7 working days after a Level I emergency is resolved, inviting relevant departments to analyze causes and formulate improvement measures.","After a major emergency is resolved, the Emergency Response Team leader must hold a review meeting within one week to analyze causes and develop improvements.","The Emergency Response Team leader may organize a post-incident review meeting at their discretion more than 30 days after resolution, without mandatory participation from relevant departments.","[""The Emergency Response Team leader is responsible for organizing a post-incident review meeting within 7 working days after a Level I emergency is resolved."", ""The Emergency Response Team leader invites relevant departments to the meeting."", ""The meeting analyzes causes and formulates improvement measures.""]","[""The Emergency Response Team leader must hold a review meeting within one week after a major emergency is resolved."", ""The meeting analyzes causes and develops improvements.""]","[""The Emergency Response Team leader may organize a post-incident review meeting at their discretion more than 30 days after resolution."", ""The meeting does not require mandatory participation from relevant departments.""]","[[""The Emergency Response Team leader is not responsible for organizing a post-incident review meeting within 7 working days."", ""The Emergency Response Team leader may organize the meeting after 7 working days."", ""The Emergency Response Team leader is exempt from organizing the review meeting.""], [""The Emergency Response Team leader does not invite relevant departments to the meeting."", ""The Emergency Response Team leader excludes relevant departments from the meeting."", ""The Emergency Response Team leader is not required to invite relevant departments.""], [""The meeting does not analyze causes and formulate improvement measures."", ""The meeting omits cause analysis."", ""The meeting does not formulate improvement measures.""]]"
"Level II information includes delays of 15 minutes or more but less than 30 minutes, train dropping offline and clearing passengers, or signal failures causing degradation to non-ATP protection mode for more than 'one station and one section' when distance to terminal is over 'two stations and two sections'.","Level II status covers delays lasting 15-29 minutes, trains going offline with passenger clearance, or signal faults forcing non-ATP operation for over a station-section distance when far from the terminus.",Level II information includes delays of less than 10 minutes and signal failures that do not affect ATP protection.,"['Level II information includes delays of 15 minutes or more but less than 30 minutes.', 'Level II information includes train dropping offline and clearing passengers.', 'Level II information includes signal failures causing degradation to non-ATP protection mode.', ""Degradation lasts for more than 'one station and one section'."", ""Condition applies when distance to terminal is over 'two stations and two sections'.""]","['Covers delays lasting 15-29 minutes.', 'Trains going offline with passenger clearance.', 'Signal faults forcing non-ATP operation.', 'For over a station-section distance.', 'When far from the terminus.']","['Includes delays of less than 10 minutes.', 'Signal failures do not affect ATP protection.']","[['Includes delays of 30 minutes or more.', 'Includes delays of less than 1 minute.', 'Includes delays of exactly 10 minutes.'], ['Includes train staying online with passengers.', 'Includes train dropping offline without clearing passengers.', 'Excludes train dropping offline.'], ['Includes signal failures with full ATP protection.', 'Includes signal failures improving protection.', 'Excludes signal failures causing degradation.'], [""Degradation lasts for less than 'one station'."", ""Degradation lasts for 'zero sections'."", 'Degradation is instantaneous.'], [""Condition applies when distance to terminal is less than 'one station'."", 'Condition applies when at terminal station.', 'Condition applies regardless of distance.']]"
"If the wind force reaches level 7, all trains shall operate at a limited speed of 60 km/h, and engineering trains shall operate at a limited speed of 40 km/h.","Operations must be slowed down when wind intensity hits level 7, with passenger trains capped at 60 km/h and engineering vehicles restricted to 40 km/h.","If the wind force reaches level 7, all trains are permitted to maintain normal operating speeds, and engineering trains may operate at 80 km/h to clear the line quickly.","[""If the wind force reaches level 7, all trains shall operate at a limited speed of 60 km/h."", ""If the wind force reaches level 7, engineering trains shall operate at a limited speed of 40 km/h.""]","[""Operations must be slowed down when wind intensity hits level 7, with passenger trains capped at 60 km/h."", ""When wind intensity hits level 7, engineering vehicles are restricted to 40 km/h.""]","[""If the wind force reaches level 7, all trains are permitted to maintain normal operating speeds."", ""If the wind force reaches level 7, engineering trains may operate at 80 km/h.""]","[[""If the wind force reaches level 7, all trains shall operate at a limited speed of 120 km/h."", ""If the wind force reaches level 3, all trains shall operate at a limited speed of 60 km/h."", ""If the wind force reaches level 7, all trains shall stop immediately.""], [""If the wind force reaches level 7, engineering trains shall operate at a limited speed of 100 km/h."", ""If the wind force reaches level 7, engineering trains are not subject to speed limits."", ""If the wind force reaches level 2, engineering trains shall operate at a limited speed of 40 km/h.""]]"
"This Table lists the sections of former Title 11,
Bankruptcy, and indicates the sections of Title 11,
as revised by Pub. L. 95–598 which cover similar
and related subject matter.
Title 11Former SectionsTitle 11New Sections
1(1)–(3)Rep.
1(4)101(12)
1(5)–(7)Rep.
1(8)101(8)
1(9), (10)Rep.
1(11)101(9)
1(12), (13)Rep.
1(14)101(11)
1(15), (16)Rep.
1(17)101(17), (18)
1(18)Rep.
1(19)101(26)
1(20)–(22)Rep.
1(23)101(30)
1(24)101(31)
1(25), (26)Rep.
1(27)101(34)
1(28), (29)Rep.
1(29a)101(38)
1(30)101(40)
1(31)Rep.
1(32)101(24)
1(33), (34)Rep.
1(35)102(7)
11(a)(1)109(a)
11(a)(2)502(j)
11(a)(2A)505(a), (b)
11(a)(3), (4)Rep.
11(a)(5)721
11(a)(6)Rep.
11(a)(7)363
11(a)(8)350
11(a)(9)–(14)Rep.
11(a)(15)105
11(a)(16)Re","The document is Accepted and Agreed to by the DEALER, which is identified as BANK OF AMERICA, N.A. The acceptance is evidenced by the signature /s/ Ryan M. Hult. The Name of the signer is Ryan M. Hult, and his Title is Authorized Signatory.","The document is Rejected and Disagreed to by the DEALER, which is identified as BANK OF ANTARCTICA, N.A. The rejection is evidenced by the signature /s/ No One. The Name of the signer is Jane Doe, and her Title is Unauthorized Trespasser.","['The document is Accepted and Agreed.', 'The DEALER is BANK OF AMERICA, N.A.', 'The signature is /s/ Ryan M. Hult.', 'The Name of the signer is Ryan M. Hult.', 'The Title of the signer is Authorized Signatory.']","['Document status is Accepted and Agreed.', 'Dealer entity is Bank of America, N.A.', 'Signature provided is Ryan M. Hult.', ""Signer's name is Ryan M. Hult."", ""Signer's title is Authorized Signatory.""]","['Document status is Rejected and Disagreed.', 'Dealer entity is Bank of Antarctica, N.A.', 'Signature provided is No One.', ""Signer's name is Jane Doe."", ""Signer's title is Unauthorized Trespasser.""]","[['The document is NOT Accepted and Agreed.', 'It is rejected.', 'It is under negotiation.'], ['The DEALER is NOT BANK OF AMERICA, N.A.', 'It is Wells Fargo.', 'It is a local credit union.'], ['The signature is NOT /s/ Ryan M. Hult.', 'It is unsigned.', 'It is signed by the President.'], ['The Name is NOT Ryan M. Hult.', 'It is John Smith.', 'It is unknown.'], ['The Title is NOT Authorized Signatory.', 'It is CEO.', 'It is Witness.']]"
"The Second Amendment to the Manufacturing Agreement is entered into solely between Microtune (Texas), L.P. and Ionics EMS, Inc.",The second change to the making-stuff contract is just between Microtune and Ionics.,"The Amendment includes Microtune Inc., the parent company, as a party.","['The Amendment is entered into solely between Microtune (Texas), L.P. and Ionics EMS, Inc.', 'No parent company is involved.']","['Bilateral amendment.', 'Microtune LP and Ionics only.']","['The Amendment includes Microtune Inc. as a party.', 'The parent company is involved.']","[['The Amendment is not solely between Microtune (Texas) and Ionics.', 'Microtune Inc. is a party.', 'Parent company is involved.'], ['A parent company is involved.', 'Microtune Inc. is a signatory.', 'Exclusion of parent is incorrect.']]"
"If a single station's communication fails, the Signal Maintenance team must check if the fault station's signal optical transmission system is working normally.",The signal team verifies the functionality of the optical transmission system at the specific station experiencing communication loss.,The signal team must assume the optical transmission system is broken and replace it without checking.,"[""The event is a single station communication failure."", ""The Signal Maintenance team must check the signal optical transmission system."", ""The check is to verify if the system is working normally.""]","[""The signal team verifies the optical transmission system."", ""The check is performed at the faulty station.""]","[""The signal team must assume the system is broken."", ""The signal team must not check the system."", ""The signal team checks the water pipes.""]","[[""The event is a system-wide success."", ""The event is a minor delay."", ""The event is a fire alarm.""], [""The Signal Maintenance team must ignore the signal optical transmission system."", ""The team checks the floor instead."", ""The team destroys the system.""], [""The check is to ensure the system is broken."", ""The check is to verify if the system is painted red."", ""The check is irrelevant.""]]"
"row42: 114,Family Court properly dismissed the family offense petition due to insufficient proof. The mother bore the burden of proving a family offense by “a fair preponderance of the evidence” (Family Ct Act § 832). She alleged that the father committed harassment in the second degree, which required proof that he, “with intent to harass, annoy or alarm [her,] . . . engage [d] in a course of conduct or repeatedly committed] acts which alarm[ed] or seriously annoy[ed her] and which serve[d] no legitimate purpose” (Penal Law § 240.26 [3]). The mother testified that each ti","Family Court appropriately dismissed the family offense petition because of inadequate proof. The mother had the responsibility to demonstrate a family offense by “a fair preponderance of the evidence” (Family Ct Act § 832). She claimed that the father committed harassment in the second degree, necessitating proof that he, “with intent to harass, annoy or alarm [her,] . . . engage [d] in a course of conduct or repeatedly committed] acts which alarm[ed] or seriously annoy[ed her] and which serve[d] no legitimate purpose” (Penal Law § 240.26 [3]). The mother testified that each ti","Family Court improperly dismissed the family offense petition due to sufficient proof. The mother did not bear the burden of proving a family offense by “a fair preponderance of the evidence” (Family Ct Act § 832). She did not allege that the father committed harassment in the second degree, which did not require proof that he, “with intent to harass, annoy or alarm [her,] . . . engage [d] in a course of conduct or repeatedly committed] acts which alarm[ed] or seriously annoy[ed her] and which serve[d] no legitimate purpose” (Penal Law § 240.26 [3]). The mother did not testify that each ti","['Family Court properly dismissed the family offense petition due to insufficient proof.', 'The mother bore the burden of proving a family offense by “a fair preponderance of the evidence” (Family Ct Act § 832).', 'She alleged that the father committed harassment in the second degree.', 'Which required proof that he, “with intent to harass, annoy or alarm [her,] . . . engage [d] in a course of conduct or repeatedly committed] acts which alarm[ed] or seriously annoy[ed her] and which serve[d] no legitimate purpose” (Penal Law § 240.26 [3]).', 'The mother testified that each ti']","['Family Court appropriately dismissed the family offense petition because of inadequate proof.', 'The mother had the responsibility to demonstrate a family offense by “a fair preponderance of the evidence” (Family Ct Act § 832).', 'She claimed that the father committed harassment in the second degree.', 'Necessitating proof that he, “with intent to harass, annoy or alarm [her,] . . . engage [d] in a course of conduct or repeatedly committed] acts which alarm[ed] or seriously annoy[ed her] and which serve[d] no legitimate purpose” (Penal Law § 240.26 [3]).', 'The mother testified that each ti']","['Family Court improperly dismissed the family offense petition due to sufficient proof.', 'The mother did not bear the burden of proving a family offense by “a fair preponderance of the evidence” (Family Ct Act § 832).', 'She did not allege that the father committed harassment in the second degree.', 'Which did not require proof that he, “with intent to harass, annoy or alarm [her,] . . . engage [d] in a course of conduct or repeatedly committed] acts which alarm[ed] or seriously annoy[ed her] and which serve[d] no legitimate purpose” (Penal Law § 240.26 [3]).', 'The mother did not testify that each ti']","[['Family Court improperly dismissed the family offense petition due to insufficient proof.', 'Family Court properly dismissed the family offense petition due to sufficient proof.', 'Family Court properly dismissed the family offense petition not due to insufficient proof.'], ['The mother did not bear the burden of proving a family offense by “a fair preponderance of the evidence” (Family Ct Act § 832).', 'The father bore the burden of proving a family offense by “a fair preponderance of the evidence” (Family Ct Act § 832).', 'The mother bore the burden of proving a family offense by “an unfair preponderance of the evidence” (Family Ct Act § 832).'], ['She did not allege that the father committed harassment in the second degree.', 'She alleged that the father committed harassment in the first degree.', 'She alleged that the mother committed harassment in the second degree.'], ['Which did not require proof that he, “with intent to harass, annoy or alarm [her,] . . . engage [d] in a course of conduct or repeatedly committed] acts which alarm[ed] or seriously annoy[ed her] and which serve[d] no legitimate purpose” (Penal Law § 240.26 [3]).', 'Which required proof that she, “with intent to harass, annoy or alarm [her,] . . . engage [d] in a course of conduct or repeatedly committed] acts which alarm[ed] or seriously annoy[ed her] and which serve[d] no legitimate purpose” (Penal Law § 240.26 [3]).', 'Which required proof that he, “without intent to harass, annoy or alarm [her,] . . . engage [d] in a course of conduct or repeatedly committed] acts which alarm[ed] or seriously annoy[ed her] and which serve[d] no legitimate purpose” (Penal Law § 240.26 [3]).'], ['The mother did not testify that each ti', 'The father testified that each ti', 'The mother testified that no ti']]"
The Company warrants that the software is merchantable and fit for any purpose the Licensee may have in mind.,The Company guarantees the software is sellable and will work for whatever the Licensee wants to use it for.,THE SOFTWARE IS PROVIDED 'AS IS' AND LICENSOR DISCLAIMS ALL IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.,['The Company warrants that the software is merchantable and fit for any purpose the Licensee may have in mind.'],['The Company guarantees the software is sellable and will work for whatever the Licensee wants to use it for.'],"[""THE SOFTWARE IS PROVIDED 'AS IS' AND LICENSOR DISCLAIMS ALL IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.""]","[['The Company does not warrant merchantability.', 'Implied warranties are disclaimed.', 'The software is not warranted for any particular purpose.']]"
"After the emergency handling of the network security emergency event is completed, the responsible department shall complete the filling and submit the Network Security Event Report to the Technical Contract Department within 3 days.","Post-emergency, the accountable department has a deadline of 3 days to compile and file the Network Security Event Report with the Technical Contract Department.",The responsible department shall submit the Network Security Event Report within 7 days.,"['Emergency handling of network security event is completed.', 'Responsible department shall complete filling Network Security Event Report.', 'Submit to Technical Contract Department.', 'Deadline is within 3 days.']","['Post-emergency.', 'Accountable department must compile report.', 'File with Technical Contract Department.', 'Deadline is 3 days.']",['Deadline is within 7 days.'],"[['Emergency handling is ongoing.', 'Emergency handling is paused.', 'Emergency handling is cancelled.'], ['Responsible department shall destroy the report.', 'Responsible department shall hide the report.', 'Responsible department shall publish the report online.'], ['Submit to Safety Department.', 'Submit to Dispatch Department.', 'Submit to HR Department.'], ['Deadline is within 7 days.', 'Deadline is within 24 hours.', 'Deadline is within 1 month.']]"
Remote work is allowed on Fridays.,Working from home is permitted on Friday.,Remote work is strictly prohibited on Fridays.,"['Remote work is not allowed.', 'You cannot work from home on Fridays.', 'Fridays require office presence.']",['Remote work is allowed on Fridays.'],['Working from home is permitted on Friday.'],[['Remote work is strictly prohibited on Fridays.']]
Complainant Steven Rothman was robbed at gunpoint on West 41st Street by two men and provided detailed descriptions to police officers Timothy Norris and Francis Girino at the Port Authority Terminal.,"Steven Rothman reported being victimized in an armed robbery perpetrated by two male assailants on West 41st Street, after which he proceeded to the Port Authority Terminal where he furnished Officers Timothy Norris and Francis Girino with comprehensive physical descriptions of both suspects including their clothing and physical characteristics.","Steven Rothman was never the victim of any robbery incident, did not visit the Port Authority Terminal on the date in question, and never provided descriptions to Officers Norris or Girino because no such officers responded to any incident involving him.","['Steven Rothman was the complainant/victim', 'Rothman was robbed at gunpoint', 'The robbery occurred on West 41st Street', 'Two men committed the robbery', 'Rothman went to the Port Authority Terminal afterward', 'Rothman provided detailed descriptions to police officers', 'The officers were Timothy Norris and Francis Girino']","['Steven Rothman filed a formal complaint identifying himself as a crime victim', 'Rothman reported experiencing an armed robbery involving a firearm', 'The criminal incident took place on West 41st Street in Manhattan', 'Two male individuals were identified as the perpetrators of the robbery', 'Following the incident, Rothman traveled to the Port Authority Bus Terminal', 'At the terminal location, Rothman gave thorough physical descriptions of the suspects', 'The police officers who received these descriptions were specifically identified as Timothy Norris and Francis Girino']","['Steven Rothman was never the victim of any robbery incident', 'Rothman did not visit the Port Authority Terminal on the relevant date', 'Rothman never provided suspect descriptions to any police officers', 'Officers Norris and Girino did not respond to any incident involving Rothman']","[[""The complainant's name was Michael Johnson, not Steven Rothman"", 'Multiple complainants reported the incident, not a single individual', 'No formal complainant was ever identified in police records'], ['Rothman experienced a strong-arm robbery without weapons involvement', 'The incident involved attempted robbery where nothing was actually taken', 'No robbery occurred - Rothman voluntarily gave items to acquaintances'], ['The incident occurred on West 45th Street near Times Square', 'The location was inside Penn Station, not on a public street', 'The incident happened in Brooklyn, completely outside Manhattan'], ['A single perpetrator committed the robbery, not two individuals', 'Three suspects were involved in the robbery incident', 'The number of perpetrators could not be determined from available evidence'], ['Rothman remained at the scene and was interviewed there by responding officers', 'Rothman went directly to a police precinct rather than the Port Authority', 'Rothman left the area entirely and reported the incident the following day'], ['Rothman provided only vague, general descriptions lacking specific details', 'Rothman refused to provide any suspect descriptions citing fear of retaliation', 'Descriptions were provided by independent witnesses, not by Rothman himself'], ['The officers were Sergeant Williams and Detective Chen, not Norris and Girino', 'A single officer named Rodriguez handled the entire initial response', 'No officers by the names Norris or Girino are employed by the NYPD']]"
The main responsible persons of each department and maintenance unit must keep their portable communication devices on standby 24 hours a day to ensure smooth emergency communication.,Key personnel are required to be reachable at all times via their mobile devices to guarantee communication flow.,Responsible persons are required to turn off their communication devices immediately after their shift ends and must ensure they are unreachable during non-working hours to prevent emergency communication.,"[""The main responsible persons of each department and maintenance unit must keep their portable communication devices on standby 24 hours a day."", ""This is to ensure smooth emergency communication.""]","[""Key personnel are required to be reachable at all times via their mobile devices."", ""This requirement guarantees communication flow.""]","[""Responsible persons are required to turn off their communication devices immediately after their shift ends."", ""They must ensure they are unreachable during non-working hours to prevent emergency communication.""]","[[""Responsible persons must turn off devices after their shift."", ""Devices should only be on for 8 hours a day."", ""24-hour standby is strictly prohibited.""], [""This is to prevent emergency communication."", ""The goal is to disrupt communication flow."", ""Emergency communication must be blocked.""]]"
"row53: 121,Table of Contents ARTICLE 1 CERTAIN DEFINITIONS SECTION 1.01 Certain Definitions ARTICLE 2 CORPORATE GOVERNANCE SECTION 2.01 Composition of the Board SECTION 2.02 Vacancies SECTION 2.03 Committees SECTION 2.04 Certificate of Incorporation and By-Laws to Be Consistent SECTION 2.05 Approval of the Investor Group Required for Certain Actions SECTION 2.06 Approval of Independent Directors Required for Certain Actions ARTICLE 3 VOTING OF SHARES SECTION 3.01 Agreement with Respect to Voting of Common Stock",Table of Contents ARTICLE 1 CERTAIN DEFINITIONS SECTION 1.01 Certain Definitions ARTICLE 2 CORPORATE GOVERNANCE SECTION 2.01 Composition of the Board SECTION 2.02 Vacancies SECTION 2.03 Committees SECTION 2.04 Certificate of Incorporation and By-Laws to Be Consistent SECTION 2.05 Approval of the Investor Group Required for Certain Actions SECTION 2.06 Approval of Independent Directors Required for Certain Actions ARTICLE 3 VOTING OF SHARES SECTION 3.01 Agreement with Respect to Voting of Common Stock,Table of Contents ARTICLE 1 CERTAIN DEFINITIONS SECTION 1.01 Certain Definitions ARTICLE 2 CORPORATE GOVERNANCE SECTION 2.01 Composition of the Board SECTION 2.02 Vacancies SECTION 2.03 Committees SECTION 2.04 Certificate of Incorporation and By-Laws to Be Consistent SECTION 2.05 Approval of the Investor Group Required for Certain Actions SECTION 2.06 Approval of Independent Directors Required for Certain Actions ARTICLE 3 VOTING OF SHARES SECTION 3.01 Agreement with Respect to Voting of Common Stock,"['Table of Contents', 'ARTICLE\xa01 CERTAIN DEFINITIONS', 'SECTION\xa01.01 Certain Definitions', 'ARTICLE\xa02 CORPORATE GOVERNANCE', 'SECTION\xa02.01 Composition of the Board', 'SECTION\xa02.02 Vacancies', 'SECTION\xa02.03 Committees', 'SECTION\xa02.04 Certificate of Incorporation and By-Laws to Be Consistent', 'SECTION\xa02.05 Approval of the Investor Group Required for Certain Actions', 'SECTION\xa02.06 Approval of Independent Directors Required for Certain Actions', 'ARTICLE\xa03 VOTING OF SHARES', 'SECTION\xa03.01 Agreement with Respect to Voting of Common Stock']","['Table of Contents', 'ARTICLE\xa01 CERTAIN DEFINITIONS', 'SECTION\xa01.01 Certain Definitions', 'ARTICLE\xa02 CORPORATE GOVERNANCE', 'SECTION\xa02.01 Composition of the Board', 'SECTION\xa02.02 Vacancies', 'SECTION\xa02.03 Committees', 'SECTION\xa02.04 Certificate of Incorporation and By-Laws to Be Consistent', 'SECTION\xa02.05 Approval of the Investor Group Required for Certain Actions', 'SECTION\xa02.06 Approval of Independent Directors Required for Certain Actions', 'ARTICLE\xa03 VOTING OF SHARES', 'SECTION\xa03.01 Agreement with Respect to Voting of Common Stock']","['Table of Contents', 'ARTICLE\xa01 CERTAIN DEFINITIONS', 'SECTION\xa01.01 Certain Definitions', 'ARTICLE\xa02 CORPORATE GOVERNANCE', 'SECTION\xa02.01 Composition of the Board', 'SECTION\xa02.02 Vacancies', 'SECTION\xa02.03 Committees', 'SECTION\xa02.04 Certificate of Incorporation and By-Laws to Be Consistent', 'SECTION\xa02.05 Approval of the Investor Group Required for Certain Actions', 'SECTION\xa02.06 Approval of Independent Directors Required for Certain Actions', 'ARTICLE\xa03 VOTING OF SHARES', 'SECTION\xa03.01 Agreement with Respect to Voting of Common Stock']","[['No Table of Contents', 'Table of No Contents', 'Different Table of Contents'], ['ARTICLE\xa01 UNCERTAIN DEFINITIONS', 'ARTICLE\xa02 CERTAIN DEFINITIONS', 'No ARTICLE\xa01 CERTAIN DEFINITIONS'], ['SECTION\xa01.02 Certain Definitions', 'SECTION\xa01.01 Uncertain Definitions', 'No SECTION\xa01.01 Certain Definitions'], ['ARTICLE\xa02 CORPORATE MISGOVERNANCE', 'ARTICLE\xa01 CORPORATE GOVERNANCE', 'No ARTICLE\xa02 CORPORATE GOVERNANCE'], ['SECTION\xa02.02 Composition of the Board', 'SECTION\xa02.01 Decomposition of the Board', 'No SECTION\xa02.01 Composition of the Board'], ['SECTION\xa02.03 Vacancies', 'SECTION\xa02.02 Filled Positions', 'No SECTION\xa02.02 Vacancies'], ['SECTION\xa02.04 Committees', 'SECTION\xa02.03 Subcommittees', 'No SECTION\xa02.03 Committees'], ['SECTION\xa02.05 Certificate of Incorporation and By-Laws to Be Consistent', 'SECTION\xa02.04 Certificate of Incorporation and By-Laws to Be Inconsistent', 'No SECTION\xa02.04 Certificate of Incorporation and By-Laws to Be Consistent'], ['SECTION\xa02.06 Approval of the Investor Group Required for Certain Actions', 'SECTION\xa02.05 Disapproval of the Investor Group Required for Certain Actions', 'No SECTION\xa02.05 Approval of the Investor Group Required for Certain Actions'], ['SECTION\xa02.07 Approval of Independent Directors Required for Certain Actions', 'SECTION\xa02.06 Approval of Dependent Directors Required for Certain Actions', 'No SECTION\xa02.06 Approval of Independent Directors Required for Certain Actions'], ['ARTICLE\xa04 VOTING OF SHARES', 'ARTICLE\xa03 NON-VOTING OF SHARES', 'No ARTICLE\xa03 VOTING OF SHARES'], ['SECTION\xa03.02 Agreement with Respect to Voting of Common Stock', 'SECTION\xa03.01 Disagreement with Respect to Voting of Common Stock', 'No SECTION\xa03.01 Agreement with Respect to Voting of Common Stock']]"
"a balance of $____ including principal and accrued interest as of ____.
The Noteholder further agrees to convert the following amount of principal and
interest (the “Conversion Amount”) due under the Note into shares of common
stock of the Issuer (“Shares”), no par value, at the price stated below. The
parties anticipate that the Shares will be eligible for resale pursuant to Rule
144.
Principal Being Converted:
$
Interest Being Converted:
$
Conversion Price:
$
Number of Shares to Be Issued:
--------------------------------------------------------------------------------
The Noteholder is surrendering for conversion that portion of the principal and","Based on the premises and the mutual covenants contained in this Agreement, the Purchaser and the Company agree as follows: 1. Purchase and Sale of Warrants. The transaction involving the purchase and sale of the Warrants will take place at the same time as the IPO is consummated.","Based on the lies and unilateral demands contained in this Agreement, the Purchaser and the Company disagree as follows: 1. Rejection and Destruction of Warrants. The transaction involving the rejection of the Warrants will take place 10 years after the IPO is cancelled.","['Purchaser and Company agree as follows.', 'Agreement is in consideration of the premises.', 'Agreement is in consideration of mutual covenants and agreements contained herein.', 'Section 1 covers Purchase and Sale of Warrants.', 'The purchase and sale of the Warrants shall occur.', 'The occurrence shall be simultaneously with the consummation of the IPO.']","['Purchaser and Company agree.', 'Based on premises.', 'Based on mutual covenants.', 'Section 1 is Purchase/Sale of Warrants.', 'Transaction will occur.', 'Timing is simultaneous with IPO consummation.']","['Purchaser and Company disagree.', 'Based on lies.', 'Based on unilateral demands.', 'Section 1 is Rejection/Destruction.', 'Transaction will not occur.', 'Timing is 10 years after IPO cancellation.']","[['Purchaser and Company do NOT agree.', 'They dispute the terms.', 'They agree to nothing.'], ['Agreement is NOT in consideration of premises.', 'Consideration is money only.', 'No consideration exists.'], ['Agreement is NOT based on mutual covenants.', 'Covenants are one-sided.', 'There are no covenants.'], ['Section 1 does NOT cover Purchase and Sale.', 'Covers Rental.', 'Covers Theft.'], ['The purchase and sale shall NOT occur.', 'Sale is cancelled.', 'Purchase is forbidden.'], ['Occurrence is NOT simultaneous with IPO.', 'Occurs before IPO.', 'Occurs after IPO.']]"
